Name,price,area,bedroom
Residential land / Plot in Sector-92 Gurgaon,"₹ 1.43 Cr
₹ 5,315/sq.ft.","2,700 sq.ft. 
(251 sq.m.) Plot Area",
2 BHK Residential Apartment in Sector 86 Faridabad,"₹ 25.9 Lac
₹ 4,512/sq.ft.","574 sq.ft. 
(53 sq.m.) Super built-up Area","2 BHK
2 Baths"
Residential land / Plot in Palam Vihar,"₹ 6.5 Cr
₹ 7,222/sq.ft.","9,000 sq.ft. 
(836 sq.m.) Plot Area",
4 BHK Residential Apartment in Sector 81 Faridabad,"₹ 1.78 Cr
₹ 5,788/sq.ft.","3,075 sq.ft. 
(286 sq.m.) Super built-up Area","4 BHK
5 Baths"
Residential land / Plot in Kundli,"₹ 85 Lac
₹ 3,778/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-15 Bahadurgarh,"₹ 47.5 Lac
₹ 2,647/sq.ft.","1,795 sq.ft. 
(167 sq.m.) Super built-up Area","3 BHK
2 Baths"
3 BHK Independent Builder Floor in Sector 88 Faridabad,"₹ 60 - 80 Lac
₹ 3,788/sq.ft.","1,400-2,430 sq.ft. 
(130-226 sq.m.) Super built-up Area","3 BHK
3 Baths"
3 BHK Independent Builder Floor in Sector 89 Faridabad,"₹ 73 Lac
₹ 2,704/sq.ft.","2,700 sq.ft. 
(251 sq.m.) Super built-up Area","3 BHK
3 Baths"
2 BHK Independent Builder Floor in Sector-16 Panchkula,"₹ 90 Lac
₹ 4,000/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Super built-up Area","2 BHK
2 Baths"
4 BHK Independent Builder Floor in Sector 81 Faridabad,"₹ 84.5 Lac
₹ 4,673/sq.ft.","1,808 sq.ft. 
(168 sq.m.) Super built-up Area",4 BHK
3 BHK Independent Builder Floor in Alpha International City,"₹ 46 Lac
₹ 2,967/sq.ft.","1,550 sq.ft. 
(144 sq.m.) Super built-up Area","3 BHK
3 Baths"
4 BHK Residential Apartment in Sector-15 Bahadurgarh,"₹ 55 Lac
₹ 2,816/sq.ft.","1,953 sq.ft. 
(181 sq.m.) Super built-up Area","4 BHK
3 Baths"
Residential land / Plot in Sector-14 Bahadurgarh,"₹ 57 Lac
₹ 3,268/sq.ft.","1,744 sq.ft. 
(162 sq.m.) Plot Area",
Residential land / Plot in Sector-45 Karnal,"₹ 85 Lac
₹ 1,487/sq.ft.","5,715 sq.ft. 
(531 sq.m.) Plot Area",
3 BHK Residential Apartment in Sector-15 Bahadurgarh,"₹ 40.7 Lac
₹ 2,441/sq.ft.","1,668 sq.ft. 
(155 sq.m.) Super built-up Area","3 BHK
3 Baths"
3 BHK Residential Apartment in Sector 81 Faridabad,"₹ 1.09 Cr
₹ 5,751/sq.ft.","1,895 sq.ft. 
(176 sq.m.) Super built-up Area","3 BHK
3 Baths"
3 BHK Independent Builder Floor in Sector-35 Bahadurgarh,"₹ 29.37 Lac
₹ 2,899/sq.ft.","1,013 sq.ft. 
(94 sq.m.) Super built-up Area",3 BHK
Residential land / Plot in Sector - 6 Dharuhera,"₹ 65 Lac
₹ 2,012/sq.ft.","3,231 sq.ft. 
(300 sq.m.) Plot Area",
2 BHK Independent Builder Floor in Charmwood Village,"₹ 85 Lac
₹ 7,084/sq.ft.","1,200 sq.ft. 
(111 sq.m.) Super built-up Area","2 BHK
2 Baths"
Residential land / Plot in Sector 21A Faridabad,"₹ 2.5 Cr
₹ 5,556/sq.ft.","4,500 sq.ft. 
(418 sq.m.) Plot Area",
5 Bedroom Independent House in Sector-21 Panchkula,"₹ 5.5 Cr
₹ 17,460/sq.ft.","3,150 sq.ft. 
(293 sq.m.) Plot Area","5 BHK
5 Baths"
Residential land / Plot in Nehar Par,"₹ 58 Lac
₹ 2,578/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Sector 85 Faridabad,"₹ 60.1 Lac
₹ 2,671/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Super built-up Area","3 BHK
3 Baths"
3 BHK Independent Builder Floor in Sector 85 Faridabad,"₹ 55.5 Lac
₹ 2,467/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Super built-up Area","3 BHK
3 Baths"
Residential land / Plot in Sector-14 Bahadurgarh,"₹ 55.5 Lac
₹ 3,183/sq.ft.","1,743 sq.ft. 
(162 sq.m.) Plot Area",
Residential land / Plot in Sector 35,"₹ 44.5 Lac
₹ 2,549/sq.ft.","1,746 sq.ft. 
(162 sq.m.) Plot Area",
Residential land / Plot in Kundli,"₹ 58.5 Lac
₹ 2,781/sq.ft.","2,103 sq.ft. 
(195 sq.m.) Plot Area",
3 BHK Independent Builder Floor in Sector 85 Faridabad,"₹ 38.5 Lac
₹ 3,756/sq.ft.","1,025 sq.ft. 
(95 sq.m.) Built-up Area","3 BHK
2 Baths"
2 BHK Independent Builder Floor in Sector 35,"₹ 32.5 Lac
₹ 1,901/sq.ft.","1,710 sq.ft. 
(159 sq.m.) Super built-up Area","2 BHK
2 Baths"
Residential land / Plot in Kundli,"₹ 56.25 Lac
₹ 2,500/sq.ft.","2,250 sq.ft. 
(209 sq.m.) Plot Area",
Residential land / Plot in Kundli,"₹ 56.25 Lac₹ 2,500/sq.ft.","2,250 sq.ft. (209 sq.m.) Plot Area",
